0,1,2,3,4,5,/shf-v4-llama-instruct-10k-kl-0.35_correct,/shf-v4-llama-instruct-10k-kl-0.35_choiceA_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceB_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceC_probs,/shf-v4-llama-instruct-10k-kl-0.35_choiceD_probs
The study of older adults and aging is referred to as,Gerontology,Geropsychiatry,Geriatrics,Gero-education,A,True,0.4250584,0.34858143,0.14470105,0.08165924
Which of the following factors is associated with a decreased risk of Alzheimer's?,Being African or Hispanic American,Eating fish,A lower level of education,Being married,B,True,0.21430053,0.33641234,0.18149193,0.2677952
The docility hypothesis is that,Those with low capabilities are more vulnerable to environmental demands,Those who experience high environmental demands become more docile,Those who experience high environmental demands become less docile,Those with less capability are less vulnerable to environmental demands,A,False,0.25812927,0.3653171,0.21086872,0.16568488
Normal memory seems to be improved by,Aerobic exercise,Taking acetylcholine,Taking gingko,Increasing social contacts,A,False,0.21180987,0.3210491,0.17803246,0.2891086
The perspective that development is embedded in history means that,Change can always occur regardless of age,Sociocultural conditions must always be considered,"Development in any particular areas (e.g., social) is tied to development in other areas (e.g., cognitive)",Some characteristics change with age while others do not,B,True,0.16019483,0.3227364,0.28691688,0.23015186
"The answer ""both play an important role"" is clearly applicable to the question of",Nature vs. nurture,Mechanistic vs organismic,Continuity vs. discontinuity,All of these questions,D,True,0.1887342,0.29183704,0.22643441,0.29299435
Which of the following does NOT usually occur to the lens of the eye as one grows older?,It becomes thicker,It yellows,It becomes clouded,It fills with fluid,D,False,0.19524595,0.343714,0.20305969,0.2579804
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D,False,0.24975733,0.38009936,0.21010306,0.16004024
The reaction time difference between younger and older adults is reduced when older adults,Practice regular aerobic exercise,Lift weights on a regular schedule,Consume large quantities of vitamins,Practice Tai chi,A,False,0.22620288,0.3113195,0.19315635,0.2693213
A major difference between programmed and unprogrammed theories of senescence is that programmed theories,Attribute senescence only to environmental factors,Are far too difficulty to test,Claim that senescence follows a predetermined plan,Rely too heavily on computer models,C,False,0.2727267,0.2890723,0.23952322,0.19867782
